frame,prey,predator,food
0,20,15,15
1,20,15,15
2,20,15,15
3,20,15,16
4,20,15,16
5,20,15,16
6,20,15,16
7,20,15,17
8,20,15,17
9,20,15,16
10,20,15,16
11,20,15,16
12,20,15,17
13,20,15,18
14,20,15,18
15,20,15,19
16,20,15,20
17,21,15,20
18,22,15,20
19,22,15,20
20,22,15,20
21,21,15,20
22,21,15,20
23,21,15,19
24,21,15,19
25,19,15,19
26,19,15,19
27,19,15,19
28,19,15,19
29,19,15,19
30,19,15,17
31,19,15,18
32,19,15,18
33,19,15,18
34,19,15,18
35,18,15,18
36,18,15,18
37,18,15,17
38,18,15,17
39,18,15,17
40,18,15,17
41,18,15,17
42,18,15,17
43,18,15,17
44,18,15,17
45,18,15,17
46,18,15,17
47,18,15,17
48,18,15,18
49,18,15,18
50,18,15,18
51,18,15,18
52,18,15,18
53,16,15,17
54,16,15,17
55,16,15,18
56,16,15,19
57,17,15,19
58,18,15,19
59,18,15,19
60,19,15,19
61,20,15,19
62,21,15,19
63,22,15,19
64,23,15,19
65,24,15,19
66,27,15,19
67,29,15,19
68,30,15,19
69,32,15,19
70,34,15,19
71,36,15,19
72,38,15,20
73,38,15,20
74,38,15,20
75,37,15,20
76,37,15,20
77,37,15,20
78,35,15,20
79,35,15,20
80,35,15,20
81,35,15,19
82,35,15,19
83,35,15,19
84,35,15,19
85,35,15,19
86,34,15,19
87,34,15,19
88,34,15,19
89,34,15,19
90,34,15,18
91,34,15,18
92,34,15,18
93,34,15,18
94,34,15,18
95,34,15,18
96,34,15,17
97,34,15,17
98,34,15,17
99,34,15,17
100,34,15,17
101,34,15,17
102,34,15,17
103,34,15,17
104,34,15,17
105,34,15,16
106,35,15,17
107,36,15,17
108,37,15,17
109,40,15,17
110,43,15,17
111,45,15,17
112,48,15,17
113,51,15,17
114,53,15,17
115,54,15,17
116,55,15,17
117,55,15,17
118,56,15,17
119,57,15,17
120,58,15,18
121,59,15,18
122,59,15,18
123,60,15,18
124,60,15,17
125,60,15,17
126,60,15,17
127,59,16,17
128,59,17,16
129,58,18,16
130,58,18,16
131,58,18,16
132,57,18,16
133,57,18,16
134,57,18,16
135,57,18,16
136,57,18,16
137,57,18,16
138,58,18,16
139,59,18,16
140,60,17,16
141,61,16,16
142,62,16,16
143,63,16,17
144,64,16,17
145,65,16,17
146,66,15,16
147,65,15,16
148,66,15,16
149,67,15,16
150,68,14,16
151,69,13,15
152,70,13,15
153,71,13,15
154,72,13,15
155,73,13,15
156,73,13,15
157,73,13,15
158,73,12,15
159,73,12,15
160,73,12,16
161,73,12,16
162,73,12,16
163,73,12,16
164,73,12,15
165,74,12,15
166,75,12,16
167,76,12,16
168,80,12,15
169,83,12,16
170,85,12,16
171,88,12,16
172,91,12,16
173,93,12,17
174,96,12,17
175,98,12,17
176,100,12,17
177,102,12,15
178,104,12,15
179,106,12,14
180,107,12,14
181,108,12,14
182,109,12,15
183,110,12,15
184,111,12,15
185,112,12,13
